"Groups","Category","Barcode Ref","Product Name","Cost","Selling Price","VAT £","Expr1007","Gross Margin £","Gross Margin %","Qty Stock (Current Mth)","Sales Value (Current Mth)","Stock Value (Current Mth)","Purchases Qty","Sales Qty","Gross Margin £ Total","Net Selling Price"
"Books","(children's Books) Other Title","9781904711049","London Children's Map","1,45","2,95","0,00","2,95","1,50","50,85%","148,00","123,90","214,60","0,00","42,00","63,00","2,95"
"Books","(children's Books) Other Title","9780237531515","Flashbacks:Beware the King","2,99","4,99","0,00","4,99","2,00","40,08%","1,00","4,99","2,99","0,00","1,00","2,00","4,99"
"Books","(children's Books) Shakespeare","9781407111773","Dramatic Acts","3,59","5,99","0,00","5,99","2,40","40,07%","20,00","47,92","71,80","0,00","8,00","19,20","5,99"
"Books","(children's Books) Shakespeare","9781840111583","Life and Times","8,99","14,99","0,00","14,99","6,00","40,03%","10,00","344,77","89,90","0,00","23,00","138,00","14,99"
"Books","(children's Books) Shakespeare","9780746067208","Internet Linked Shakespeare","4,79","9,99","0,00","9,99","5,20","52,05%","30,00","299,70","143,70","0,00","30,00","156,00","9,99"
"Books","(children's Books) Shakespeare","9781406300369","What's So Special?","2,99","4,99","0,00","4,99","2,00","40,08%","11,00","59,88","32,89","0,00","12,00","24,00","4,99"
"Books","(children's Books) Shakespeare","9780746090022","Shakespeare Usbourne","2,99","4,99","0,00","4,99","2,00","40,08%","16,00","39,92","47,84","0,00","8,00","16,00","4,99"
"Books","(children's Books) The Plays","9781841213460","Orchard - The Tempest","0,90","3,99","0,00","3,99","3,09","77,44%","56,00","35,91","50,40","0,00","9,00","27,81","3,99"
"Books","(children's Books) The Plays","9781408305058","Orchard - Taming of the Shrew","0,90","3,99","0,00","3,99","3,09","77,44%","44,00","15,96","39,60","0,00","4,00","12,36","3,99"
"Books","(children's Books) The Plays","9781408305065","Orchard - Julius Caesar","0,90","3,99","0,00","3,99","3,09","77,44%","40,00","19,95","36,00","0,00","5,00","15,45","3,99"
"Books","(children's Books) The Plays","9781409522232","Illustrated Stories","8,99","14,99","0,00","14,99","6,00","40,03%","23,00","704,53","206,77","0,00","47,00","282,00","14,99"
"Books","(children's Books) The Plays","9781841213347","Orchard - Twelfth Night","0,90","3,99","0,00","3,99","3,09","77,44%","84,00","27,93","75,60","0,00","7,00","21,63","3,99"
"Books","(children's Books) The Plays","9781841213361","Orchard - Romeo & Juliet","0,90","3,99","0,00","3,99","3,09","77,44%","254,00","115,71","228,60","0,00","29,00","89,61","3,99"
"Books","(children's Books) The Plays","9781841213385","Orchard Antony & Cleopatra","0,90","3,99","0,00","3,99","3,09","77,44%","57,00","15,96","51,30","0,00","4,00","12,36","3,99"
"Books","(children's Books) The Plays","9781841213408","Orchard - Hamlet","0,90","3,99","0,00","3,99","3,09","77,44%","253,00","95,76","227,70","0,00","24,00","74,16","3,99"
"Books","(children's Books) The Plays","9781841213446","Orchard - Macbeth","0,90","3,99","0,00","3,99","3,09","77,44%","261,00","71,82","234,90","0,00","18,00","55,62","3,99"
"Books","(children's Books) The Plays","9781844285204","Romeo & Juliet - Rosen","5,99","9,99","0,00","9,99","4,00","40,04%","17,00","89,91","101,83","0,00","9,00","36,00","9,99"
"Books","(children's Books) The Plays","9781846161834","Orchard - Much Ado","0,90","3,99","0,00","3,99","3,09","77,44%","206,00","19,95","185,40","0,00","5,00","15,45","3,99"
"Books","(children's Books) The Plays","9781846161841","Orchard - Othello","0,90","3,99","0,00","3,99","3,09","77,44%","79,00","35,91","71,10","0,00","9,00","27,81","3,99"
"Books","(children's Books) The Plays","9781846161858","Orchard - Richard III","0,90","3,99","0,00","3,99","3,09","77,44%","66,00","15,96","59,40","0,00","4,00","12,36","3,99"
"Books","(children's Books) The Plays","9781846161872","Orchard - As You Like It","0,90","3,99","0,00","3,99","3,09","77,44%","78,00","23,94","70,20","0,00","6,00","18,54","3,99"
"Books","(children's Books) The Plays","9781409506720","The Tempest - Usbourne","2,99","4,99","0,00","4,99","2,00","40,08%","19,00","29,94","56,81","0,00","6,00","12,00","4,99"
"Books","(children's Books) The Plays","9781408305041","Orchard - Merchant of Venice","0,90","3,99","0,00","3,99","3,09","77,44%","45,00","35,91","40,50","0,00","9,00","27,81","3,99"
"Books","(children's Books) The Plays","9781841213422","Orchard Henry V","0,90","3,99","0,00","3,99","3,09","77,44%","48,00","23,94","43,20","0,00","6,00","18,54","3,99"
"Books","(children's Books) The Plays","9780746096116","Usborne Hamlet","2,99","4,99","0,00","4,99","2,00","40,08%","23,00","34,93","68,77","0,00","7,00","14,00","4,99"
"Books","(children's Books) The Plays","9781841213323","Orchard - Midsummer","0,90","3,99","0,00","3,99","3,09","77,44%","147,00","79,80","132,30","0,00","20,00","61,80","3,99"
"Books","(children's Books) The Plays","9780340970126","Shakespeare's Tales","5,99","9,99","0,00","9,99","4,00","40,04%","18,00","29,97","107,82","0,00","3,00","12,00","9,99"
