50	730266025775		LD009LM   	TWIST STRAP LEOTARD	50	LEO'S DANCEWEAR LLC	RED 	RED	_ 	S	35	0			
50	730266025782		LD009LM   	TWIST STRAP LEOTARD	50	LEO'S DANCEWEAR LLC	RED 	RED	_ 	M	35	0			
50	730266025799		LD009LM   	TWIST STRAP LEOTARD	50	LEO'S DANCEWEAR LLC	RED 	RED	_ 	L	35	0			
50	730266001458		LD010LM   	PRINCESS SEAM LEO	50	LEO'S DANCEWEAR LLC	BLK 	BLACK	_ 	P	34	0			
50	730266001465		LD010LM   	PRINCESS SEAM LEO	50	LEO'S DANCEWEAR LLC	BLK 	BLACK	_ 	S	34	0			
50	730266001472		LD010LM   	PRINCESS SEAM LEO	50	LEO'S DANCEWEAR LLC	BLK 	BLACK	_ 	M	34	0			
50	730266001489		LD010LM   	PRINCESS SEAM LEO	50	LEO'S DANCEWEAR LLC	BLK 	BLACK	_ 	L	34	0			
50	730266025805		LD010LM   	PRINCESS SEAM LEO	50	LEO'S DANCEWEAR LLC	RED 	RED	_ 	P	34	0			
50	730266025812		LD010LM   	PRINCESS SEAM LEO	50	LEO'S DANCEWEAR LLC	RED 	RED	_ 	S	34	0			
50	730266025829		LD010LM   	PRINCESS SEAM LEO	50	LEO'S DANCEWEAR LLC	RED 	RED	_ 	M	34	0			
50	730266025836		LD010LM   	PRINCESS SEAM LEO	50	LEO'S DANCEWEAR LLC	RED 	RED	_ 	L	34	0			
50	730266001496		LD011LM   	DBL STRAP CAMI LEO	50	LEO'S DANCEWEAR LLC	BLK 	BLACK	_ 	P	36	0			
50	730266001502		LD011LM   	DBL STRAP CAMI LEO	50	LEO'S DANCEWEAR LLC	BLK 	BLACK	_ 	S	36	0			
50	730266001519		LD011LM   	DBL STRAP CAMI LEO	50	LEO'S DANCEWEAR LLC	BLK 	BLACK	_ 	M	36	0			
50	730266001526		LD011LM   	DBL STRAP CAMI LEO	50	LEO'S DANCEWEAR LLC	BLK 	BLACK	_ 	L	36	0			
50	730266025843		LD011LM   	DBL STRAP CAMI LEO	50	LEO'S DANCEWEAR LLC	RED 	RED	_ 	P	36	0			
50	730266025850		LD011LM   	DBL STRAP CAMI LEO	50	LEO'S DANCEWEAR LLC	RED 	RED	_ 	S	36	0			
50	730266025867		LD011LM   	DBL STRAP CAMI LEO	50	LEO'S DANCEWEAR LLC	RED 	RED	_ 	M	36	0			
50	730266025874		LD011LM   	DBL STRAP CAMI LEO	50	LEO'S DANCEWEAR LLC	RED 	RED	_ 	L	36	0			
