30	688478745915		AJZP      	DNM 	_ 	CM	0	AT ONCE
30	688478745922		AJZP      	DNM 	_ 	CL	0	AT ONCE
30	688478745939		AJZP      	DNM 	_ 	P	0	AT ONCE
30	688478745946		AJZP      	DNM 	_ 	S	0	AT ONCE
30	688478745953		AJZP      	DNM 	_ 	M	0	AT ONCE
30	688478745960		AJZP      	DNM 	_ 	L	0	AT ONCE
30	688478745977		AJZP      	WPL 	_ 	CM	0	AT ONCE
30	688478745984		AJZP      	WPL 	_ 	CL	0	AT ONCE
30	688478745991		AJZP      	WPL 	_ 	P	0	AT ONCE
30	688478746004		AJZP      	WPL 	_ 	S	0	AT ONCE
30	688478746011		AJZP      	WPL 	_ 	M	0	AT ONCE
30	688478746028		AJZP      	WPL 	_ 	L	0	AT ONCE
30	688478746035		AJZPF     	AMT 	_ 	CM	0	AT ONCE
30	688478746042		AJZPF     	AMT 	_ 	CL	0	AT ONCE
30	688478746059		AJZPF     	AMT 	_ 	P	0	AT ONCE
30	688478746066		AJZPF     	AMT 	_ 	S	0	AT ONCE
30	688478746073		AJZPF     	AMT 	_ 	M	0	AT ONCE
30	688478746080		AJZPF     	AMT 	_ 	L	0	AT ONCE
30	688478746097		AJZPF     	BLK 	_ 	CM	0	AT ONCE
30	688478746103		AJZPF     	BLK 	_ 	CL	0	AT ONCE
30	688478746110		AJZPF     	BLK 	_ 	P	0	AT ONCE
30	688478746127		AJZPF     	BLK 	_ 	S	0	AT ONCE
30	688478746134		AJZPF     	BLK 	_ 	M	0	AT ONCE
30	688478746141		AJZPF     	BLK 	_ 	L	0	AT ONCE
30	688478746158		AJZPF     	DNM 	_ 	CM	0	AT ONCE
30	688478746165		AJZPF     	DNM 	_ 	CL	0	AT ONCE
30	688478746172		AJZPF     	DNM 	_ 	P	0	AT ONCE
30	688478746189		AJZPF     	DNM 	_ 	S	0	AT ONCE
30	688478746196		AJZPF     	DNM 	_ 	M	0	AT ONCE
30	688478746202		AJZPF     	DNM 	_ 	L	0	AT ONCE
30	688478746219		AJZPF     	DTL 	_ 	CM	0	AT ONCE
30	688478746226		AJZPF     	DTL 	_ 	CL	0	AT ONCE
30	688478746233		AJZPF     	DTL 	_ 	P	0	AT ONCE
30	688478746240		AJZPF     	DTL 	_ 	S	0	AT ONCE
30	688478746257		AJZPF     	DTL 	_ 	M	0	AT ONCE
30	688478746264		AJZPF     	DTL 	_ 	L	0	AT ONCE
30	688478746271		AJZPF     	WPL 	_ 	CM	0	AT ONCE
30	688478746288		AJZPF     	WPL 	_ 	CL	0	AT ONCE
30	688478746295		AJZPF     	WPL 	_ 	P	0	AT ONCE
30	688478746301		AJZPF     	WPL 	_ 	S	0	AT ONCE
30	688478746318		AJZPF     	WPL 	_ 	M	0	AT ONCE
30	688478746325		AJZPF     	WPL 	_ 	L	0	AT ONCE
30	688478746332		AKHS      	AMT 	_ 	EA	0	AT ONCE
30	688478746349		AKHS      	BLK 	_ 	EA	0	AT ONCE
30	688478746356		AKHS      	DNM 	_ 	EA	0	AT ONCE
30	688478746363		AKHS      	DTL 	_ 	EA	0	AT ONCE
30	688478746370		AKHS      	LPK 	_ 	EA	0	AT ONCE
30	688478746387		AKHS      	WPL 	_ 	EA	0	AT ONCE
30	688478007433		AL0002    	NAT 	_ 	EA	0	AT ONCE
30	688478007440		AL0103    	BLK 	_ 	EA	0	AT ONCE
30	688478746394		AL0200    	BLK 	_ 	EA	0	AT ONCE
30	688478746400		ALSC      	AMT 	_ 	CM	0	AT ONCE
30	688478746417		ALSC      	AMT 	_ 	CL	0	AT ONCE
30	688478746424		ALSC      	AMT 	_ 	P	0	AT ONCE
30	688478746431		ALSC      	AMT 	_ 	S	0	AT ONCE
30	688478746448		ALSC      	AMT 	_ 	M	0	AT ONCE
30	688478746455		ALSC      	AMT 	_ 	L	0	AT ONCE
30	688478746462		ALSC      	BLK 	_ 	CM	0	AT ONCE
30	688478746479		ALSC      	BLK 	_ 	CL	0	AT ONCE
30	688478746486		ALSC      	BLK 	_ 	P	0	AT ONCE
30	688478746493		ALSC      	BLK 	_ 	S	0	AT ONCE
30	688478746509		ALSC      	BLK 	_ 	M	0	AT ONCE
30	688478746516		ALSC      	BLK 	_ 	L	0	AT ONCE
30	688478746523		ALSC      	COR 	_ 	CM	0	AT ONCE
30	688478746530		ALSC      	COR 	_ 	CL	0	AT ONCE
30	688478746547		ALSC      	COR 	_ 	P	0	AT ONCE
30	688478746554		ALSC      	COR 	_ 	S	0	AT ONCE
30	688478746561		ALSC      	COR 	_ 	M	0	AT ONCE
30	688478746578		ALSC      	COR 	_ 	L	0	AT ONCE
30	688478746585		ALSC      	DNM 	_ 	CM	0	AT ONCE
30	688478746592		ALSC      	DNM 	_ 	CL	0	AT ONCE
30	688478746608		ALSC      	DNM 	_ 	P	0	AT ONCE
30	688478746615		ALSC      	DNM 	_ 	S	0	AT ONCE
30	688478746622		ALSC      	DNM 	_ 	M	0	AT ONCE
30	688478746639		ALSC      	DNM 	_ 	L	0	AT ONCE
30	688478746646		ALSC      	DTL 	_ 	CM	0	AT ONCE
30	688478746653		ALSC      	DTL 	_ 	CL	0	AT ONCE
30	688478746660		ALSC      	DTL 	_ 	P	0	AT ONCE
30	688478746677		ALSC      	DTL 	_ 	S	0	AT ONCE
30	688478746684		ALSC      	DTL 	_ 	M	0	AT ONCE
30	688478746691		ALSC      	DTL 	_ 	L	0	AT ONCE
30	688478746707		ALSC      	KHK 	_ 	CM	0	AT ONCE
30	688478746714		ALSC      	KHK 	_ 	CL	0	AT ONCE
30	688478746721		ALSC      	KHK 	_ 	P	0	AT ONCE
30	688478746738		ALSC      	KHK 	_ 	S	0	AT ONCE
30	688478746745		ALSC      	KHK 	_ 	M	0	AT ONCE
30	688478746752		ALSC      	KHK 	_ 	L	0	AT ONCE
30	688478746769		ALSC      	SP2 	_ 	CM	0	AT ONCE
30	688478746776		ALSC      	SP2 	_ 	CL	0	AT ONCE
30	688478746783		ALSC      	SP2 	_ 	P	0	AT ONCE
30	688478746790		ALSC      	SP2 	_ 	S	0	AT ONCE
30	688478746806		ALSC      	SP2 	_ 	M	0	AT ONCE
30	688478746813		ALSC      	SP2 	_ 	L	0	AT ONCE
30	688478746820		ALSC      	SP5 	_ 	CM	0	AT ONCE
30	688478746837		ALSC      	SP5 	_ 	CL	0	AT ONCE
30	688478746844		ALSC      	SP5 	_ 	P	0	AT ONCE
30	688478746851		ALSC      	SP5 	_ 	S	0	AT ONCE
30	688478746868		ALSC      	SP5 	_ 	M	0	AT ONCE
30	688478746875		ALSC      	SP5 	_ 	L	0	AT ONCE
30	688478746882		ALSC      	WPL 	_ 	CM	0	AT ONCE
30	688478746899		ALSC      	WPL 	_ 	CL	0	AT ONCE
30	688478746905		ALSC      	WPL 	_ 	P	0	AT ONCE
30	688478746912		ALSC      	WPL 	_ 	S	0	AT ONCE
30	688478746929		ALSC      	WPL 	_ 	M	0	AT ONCE
30	688478746936		ALSC      	WPL 	_ 	L	0	AT ONCE
30	688478746943		ALSR      	BLK 	_ 	S	0	AT ONCE
30	688478746950		ALSR      	BLK 	_ 	M	0	AT ONCE
30	688478746967		ALSR      	BLK 	_ 	L	0	AT ONCE
30	688478746974		ALSR      	WPL 	_ 	S	0	AT ONCE
30	688478746981		ALSR      	WPL 	_ 	M	0	AT ONCE
30	688478746998		ALSR      	WPL 	_ 	L	0	AT ONCE
30	688478747063		ALSS      	BLK 	_ 	CM	0	AT ONCE
30	688478747070		ALSS      	BLK 	_ 	CL	0	AT ONCE
30	688478747087		ALSS      	BLK 	_ 	P	0	AT ONCE
